"","id","player_fifa_api_id","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","EMC$class"
"1",15532,201179,212772,65,75,"right","medium","medium",13,9,8,11,11,19,16,12,11,23,13,22,30,60,35,37,54,19,55,13,19,11,10,4,21,12,19,11,68,62,54,62,72,3
"2",15533,201179,212772,65,75,"right","medium","medium",13,9,8,11,11,19,16,12,11,23,13,22,30,60,35,37,54,19,55,13,19,11,10,4,21,12,19,11,68,62,54,62,72,3
"3",15534,201179,212772,65,78,"right","medium","medium",13,9,8,11,11,19,16,12,11,23,13,22,30,60,35,37,54,19,55,13,19,11,10,4,21,12,19,11,68,62,54,62,72,3
"4",15525,201179,212772,65,69,"right","medium","medium",13,10,10,11,11,19,16,12,11,23,13,22,30,62,35,22,54,19,75,13,17,10,10,33,21,12,19,11,70,62,51,59,74,3
"5",15526,201179,212772,65,69,"right","medium","medium",13,10,10,11,11,19,16,12,11,23,13,22,30,62,35,22,54,19,75,13,17,10,10,33,21,12,19,11,70,62,51,59,74,3
"6",15527,201179,212772,65,70,"right","medium","medium",13,10,10,11,11,19,16,12,11,23,13,22,30,62,35,22,54,19,75,13,17,10,10,33,21,12,19,11,70,62,51,59,74,3
"7",173,206592,528212,48,56,"right","medium","medium",12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53,3
"8",174,206592,528212,48,57,"right","medium","medium",12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53,3
"9",175,206592,528212,48,57,"right","medium","medium",12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53,3
"10",176,206592,528212,48,57,"right","medium","medium",12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53,3
"11",177,206592,528212,48,57,"right","medium","medium",12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53,3
"12",178,206592,528212,48,57,"right","medium","medium",12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53,3
"13",179,206592,528212,48,57,"right","medium","medium",12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53,3
"14",4172,4246,32693,58,58,"right","medium","medium",6,6,12,21,11,19,8,6,18,13,18,21,53,58,50,22,66,32,62,12,52,25,12,42,7,12,9,6,58,60,58,61,53,3
"15",4173,4246,32693,58,58,"right","medium","medium",6,6,12,21,11,19,8,6,18,13,18,21,53,56,50,22,66,32,62,12,52,25,12,42,7,12,9,6,58,60,58,61,53,3
"16",4174,4246,32693,58,58,"right","medium","medium",6,6,12,9,11,19,8,6,8,13,18,21,53,56,50,22,66,32,62,12,52,25,12,42,7,12,9,6,58,60,58,61,53,3
"17",4175,4246,32693,58,58,"right","medium","medium",6,6,12,9,11,19,8,6,8,13,18,21,53,56,50,22,66,32,62,12,52,25,12,42,7,12,9,6,58,60,58,61,53,3
"18",4180,4246,32693,68,69,"right","medium","medium",11,22,22,13,11,19,8,30,68,14,20,30,53,54,50,22,66,65,70,10,51,55,25,42,30,11,27,6,67,71,68,62,69,3
"19",21307,116334,95597,70,74,"right","medium","medium",11,11,12,26,10,14,10,15,21,30,20,58,36,51,56,27,72,47,75,19,32,27,15,34,14,9,10,11,70,72,67,70,70,3
"20",21308,116334,95597,70,74,"right","medium","medium",11,11,12,26,10,9,10,15,21,30,20,58,36,51,56,27,72,47,75,19,32,27,15,58,9,21,10,11,70,72,67,70,70,3
"21",21309,116334,95597,70,74,"right","medium","medium",11,11,12,26,10,9,10,15,21,30,20,58,36,51,56,27,72,47,75,19,32,27,15,58,9,21,10,11,70,72,67,70,70,3
"22",21310,116334,95597,74,74,"right","medium","medium",11,11,12,26,10,9,10,15,21,30,20,58,36,51,56,27,72,47,75,19,32,27,15,58,9,21,10,11,73,72,67,75,73,3
"23",21311,116334,95597,74,74,"right","medium","medium",21,21,31,26,10,21,10,27,21,30,20,58,36,51,56,27,72,67,75,19,32,27,15,58,9,21,24,11,73,72,67,75,73,3
"24",4179,4246,32693,67,69,"right","medium","medium",21,22,22,21,11,21,8,6,66,21,21,30,53,54,50,22,66,65,70,21,51,55,25,42,30,21,27,6,64,69,66,62,69,3
"25",4177,4246,32693,67,58,"right","medium","medium",21,21,21,21,11,21,8,6,62,21,21,21,53,56,50,22,66,63,71,21,52,54,26,42,49,21,21,6,64,68,62,68,72,3
"26",4178,4246,32693,66,69,"right","medium","medium",21,21,21,21,11,21,8,6,62,21,21,21,53,56,50,22,66,63,71,21,52,54,26,42,49,21,21,6,64,68,62,68,69,3
"27",7999,177455,71524,65,65,"right","medium","medium",25,25,25,29,25,25,25,25,25,27,21,29,34,63,36,29,66,25,69,25,25,25,25,25,30,25,25,25,64,68,57,66,65,3
"28",8000,177455,71524,65,65,"right","medium","medium",25,25,25,29,25,25,25,25,25,27,21,29,34,63,36,29,66,25,69,25,25,25,25,25,30,25,25,25,64,68,57,66,65,3
